 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:  2
    pzmin/pzmax:   0./  100.
    transverse cuts:   0.  0.
    longitudinal cut:   0.
    RF frequency (MHz):   352.
    sigma cut:   4.
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
    34  0.2574E+02  0.0000E+00  0.2857E-03  0.1977E-02  0.1615E-09  0.3169E+00  0.2017E+00  0.4138E-01  0.3228E-01  0.5548E+00 -0.3057E-01  0.4361E+04  0.4361E+04  0.4361E+04  0.6488E-03  0.7798E-02  0.9026E-10  0.1334E+01 -0.9259E-09  0.7722E-02 -0.1257E-02 -0.1682E-02 -0.8425E-02  0.2117E-04  0.6512E-02  0.3835E-02
    35  0.2652E+02  0.0000E+00  0.2863E-03  0.1978E-02  0.1611E-09  0.3151E+00  0.2030E+00  0.4154E-01  0.2971E-01  0.5667E+00 -0.5931E-02  0.4351E+04  0.4351E+04  0.4351E+04  0.6268E-03  0.7740E-02  0.9082E-10  0.1216E+01  0.8080E-09  0.7676E-02 -0.1391E-02 -0.1688E-02 -0.1116E-01  0.2142E-03  0.7129E-02  0.4268E-02
    36  0.2730E+02  0.0000E+00  0.2843E-03  0.1982E-02  0.1599E-09  0.3177E+00  0.2042E+00  0.4177E-01  0.3529E-01  0.5692E+00  0.2387E-01  0.4339E+04  0.4339E+04  0.4339E+04  0.6232E-03  0.7770E-02  0.9076E-10  0.1291E+01  0.3233E-08  0.7700E-02 -0.1384E-02 -0.1787E-02 -0.9139E-02 -0.5184E-03  0.6381E-02  0.4553E-02
    37  0.2808E+02  0.0000E+00  0.2822E-03  0.1984E-02  0.1589E-09  0.3204E+00  0.2051E+00  0.4093E-01  0.3511E-01  0.5573E+00  0.5875E-01  0.4329E+04  0.4329E+04  0.4329E+04  0.6613E-03  0.7895E-02  0.8962E-10  0.1338E+01  0.4882E-08  0.7821E-02 -0.1418E-02 -0.1683E-02 -0.5873E-02 -0.3089E-03  0.4406E-02  0.4200E-02
    38  0.2886E+02  0.0000E+00  0.2829E-03  0.1990E-02  0.1593E-09  0.3218E+00  0.2057E+00  0.4113E-01  0.1151E-01  0.5368E+00  0.7644E-01  0.4311E+04  0.4311E+04  0.4311E+04  0.6157E-03  0.8082E-02  0.8803E-10  0.1358E+01  0.7016E-08  0.8007E-02 -0.1519E-02 -0.1685E-02 -0.9195E-02 -0.2200E-03  0.5006E-02  0.4282E-02
    39  0.2964E+02  0.0000E+00  0.2820E-03  0.1992E-02  0.1588E-09  0.3222E+00  0.2058E+00  0.4172E-01  0.3342E-01  0.5120E+00  0.7642E-01  0.4296E+04  0.4296E+04  0.4296E+04  0.6100E-03  0.8304E-02  0.8606E-10  0.1562E+01  0.8434E-08  0.8207E-02 -0.1385E-02 -0.1797E-02 -0.8808E-02  0.5653E-03  0.3934E-02  0.4053E-02
    40  0.3042E+02  0.0000E+00  0.2813E-03  0.1991E-02  0.1584E-09  0.3201E+00  0.2055E+00  0.4025E-01  0.1032E-01  0.4918E+00  0.5594E-01  0.4283E+04  0.4283E+04  0.4283E+04  0.6703E-03  0.8470E-02  0.8447E-10  0.1744E+01  0.9005E-08  0.8352E-02 -0.1418E-02 -0.1699E-02 -0.9195E-02  0.1369E-02  0.4417E-02  0.3703E-02
    41  0.3120E+02  0.0000E+00  0.2804E-03  0.1989E-02  0.1579E-09  0.3175E+00  0.2048E+00  0.4120E-01 -0.2908E-02  0.4797E+00  0.2053E-01  0.4270E+04  0.4270E+04  0.4270E+04  0.6058E-03  0.8558E-02  0.8359E-10  0.1892E+01  0.9100E-08  0.8419E-02 -0.1494E-02 -0.1686E-02 -0.7623E-02 -0.2006E-02  0.5063E-02  0.3743E-02
    42  0.3198E+02  0.0000E+00  0.2793E-03  0.1987E-02  0.1571E-09  0.3226E+00  0.2037E+00  0.4081E-01  0.3261E-02  0.4803E+00 -0.9896E-02  0.4254E+04  0.4254E+04  0.4254E+04  0.6101E-03  0.8533E-02  0.8393E-10  0.2003E+01  0.9344E-08  0.8377E-02 -0.1336E-02 -0.1731E-02 -0.8243E-02 -0.2988E-03  0.5407E-02  0.3524E-02
    43  0.3276E+02  0.0000E+00  0.2771E-03  0.1989E-02  0.1545E-09  0.3232E+00  0.2024E+00  0.4087E-01 -0.2593E-01  0.4866E+00 -0.3975E-01  0.4241E+04  0.4241E+04  0.4241E+04  0.6321E-03  0.8462E-02  0.8485E-10  0.2089E+01  0.8733E-08  0.8296E-02 -0.1316E-02 -0.1731E-02 -0.8877E-02  0.1743E-02  0.5155E-02  0.3510E-02
