 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:  2
    pzmin/pzmax:   0./  100.
    transverse cuts:   0.  0.
    longitudinal cut:   0.
    RF frequency (MHz):   704.
    sigma cut:   4.
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
    34  0.2574E+02  0.0000E+00  0.1479E-03  0.1552E-02  0.3380E-10  0.2159E+00  0.1934E+00  0.3062E-01  0.8968E-02  0.4975E+00 -0.2827E-01  0.1522E+04  0.1522E+04  0.1522E+04  0.2105E-03  0.7069E-02  0.7811E-10  0.2334E+01  0.6355E-08  0.7010E-02 -0.1229E-02 -0.1579E-02 -0.7042E-02 -0.1277E-02  0.6325E-02  0.3946E-02
    35  0.2652E+02  0.0000E+00  0.1485E-03  0.1553E-02  0.3410E-10  0.2091E+00  0.1934E+00  0.2967E-01  0.6002E-02  0.5132E+00 -0.5291E-01  0.1520E+04  0.1520E+04  0.1520E+04  0.1688E-03  0.6963E-02  0.7931E-10  0.2174E+01  0.2470E-08  0.6910E-02 -0.1094E-02 -0.1592E-02 -0.6775E-02  0.9671E-03  0.5025E-02  0.3790E-02
    36  0.2730E+02  0.0000E+00  0.1482E-03  0.1533E-02  0.3335E-10  0.2115E+00  0.1936E+00  0.3018E-01  0.5049E-01  0.5369E+00 -0.5211E-01  0.1513E+04  0.1513E+04  0.1513E+04  0.2252E-03  0.6791E-02  0.8053E-10  0.2564E+01  0.1184E-08  0.6717E-02 -0.1064E-02 -0.1657E-02 -0.8865E-02  0.3829E-03  0.5441E-02  0.4141E-02
    37  0.2808E+02  0.0000E+00  0.1460E-03  0.1527E-02  0.3243E-10  0.2133E+00  0.1939E+00  0.3063E-01 -0.2848E-01  0.5551E+00 -0.1924E-01  0.1509E+04  0.1509E+04  0.1509E+04  0.2521E-03  0.6665E-02  0.8164E-10  0.2579E+01 -0.3788E-09  0.6593E-02 -0.1184E-02 -0.1606E-02 -0.7543E-02 -0.1608E-03  0.6382E-02  0.4427E-02
    38  0.2886E+02  0.0000E+00  0.1466E-03  0.1523E-02  0.3275E-10  0.2154E+00  0.1943E+00  0.3085E-01  0.5496E-01  0.5544E+00  0.1901E-01  0.1508E+04  0.1508E+04  0.1508E+04  0.2096E-03  0.6654E-02  0.8140E-10  0.2210E+01 -0.3726E-08  0.6598E-02 -0.1234E-02 -0.1530E-02 -0.5407E-02 -0.1109E-02  0.5643E-02  0.4324E-02
    39  0.2964E+02  0.0000E+00  0.1469E-03  0.1511E-02  0.3236E-10  0.2132E+00  0.1946E+00  0.2971E-01  0.1507E-01  0.5441E+00  0.5137E-01  0.1505E+04  0.1505E+04  0.1505E+04  0.1708E-03  0.6691E-02  0.8022E-10  0.1861E+01 -0.4533E-08  0.6650E-02 -0.1146E-02 -0.1603E-02 -0.7522E-02 -0.2241E-04  0.4543E-02  0.4302E-02
    40  0.3042E+02  0.0000E+00  0.1463E-03  0.1514E-02  0.3189E-10  0.2202E+00  0.1950E+00  0.3117E-01  0.6389E-02  0.5265E+00  0.5716E-01  0.1499E+04  0.1499E+04  0.1499E+04  0.2285E-03  0.6813E-02  0.7884E-10  0.1761E+01 -0.2547E-08  0.6778E-02 -0.1132E-02 -0.1676E-02 -0.8767E-02  0.1337E-02  0.4467E-02  0.4384E-02
    41  0.3120E+02  0.0000E+00  0.1456E-03  0.1510E-02  0.3144E-10  0.2183E+00  0.1953E+00  0.3006E-01  0.2804E-01  0.5083E+00  0.3618E-01  0.1494E+04  0.1494E+04  0.1494E+04  0.2461E-03  0.6910E-02  0.7728E-10  0.1248E+01 -0.2434E-08  0.6893E-02 -0.1210E-02 -0.1587E-02 -0.8187E-02  0.3274E-04  0.5146E-02  0.4166E-02
    42  0.3198E+02  0.0000E+00  0.1455E-03  0.1506E-02  0.3134E-10  0.2214E+00  0.1956E+00  0.3128E-01  0.1760E-01  0.5014E+00  0.2072E-02  0.1490E+04  0.1490E+04  0.1490E+04  0.2068E-03  0.6951E-02  0.7657E-10  0.1275E+01  0.8721E-09  0.6934E-02 -0.1227E-02 -0.1545E-02 -0.8801E-02 -0.8003E-03  0.4750E-02  0.4032E-02
    43  0.3276E+02  0.0000E+00  0.1439E-03  0.1495E-02  0.3073E-10  0.2226E+00  0.1958E+00  0.2995E-01  0.2410E-02  0.5087E+00 -0.2564E-01  0.1484E+04  0.1484E+04  0.1484E+04  0.2083E-03  0.6882E-02  0.7678E-10  0.1324E+01 -0.3675E-09  0.6864E-02 -0.1153E-02 -0.1634E-02 -0.4988E-02 -0.1822E-02  0.5091E-02  0.4228E-02
    44  0.3354E+02  0.0000E+00  0.1444E-03  0.1500E-02  0.3090E-10  0.2259E+00  0.1958E+00  0.3155E-01  0.3026E-01  0.5241E+00 -0.4341E-01  0.1479E+04  0.1479E+04  0.1479E+04  0.2520E-03  0.6798E-02  0.7807E-10  0.1366E+01  0.4793E-08  0.6779E-02 -0.1253E-02 -0.1614E-02 -0.6465E-02  0.1252E-02  0.2864E-02  0.4513E-02
    45  0.3432E+02  0.0000E+00  0.1446E-03  0.1502E-02  0.3082E-10  0.2116E+00  0.1957E+00  0.3019E-01  0.4227E-02  0.5394E+00 -0.4153E-01  0.1477E+04  0.1477E+04  0.1477E+04  0.1720E-03  0.6704E-02  0.7933E-10  0.1401E+01  0.6081E-08  0.6683E-02 -0.1236E-02 -0.1586E-02 -0.9878E-02  0.2559E-02  0.3504E-02  0.4491E-02
    46  0.3510E+02  0.0000E+00  0.1433E-03  0.1500E-02  0.3046E-10  0.2162E+00  0.1954E+00  0.3107E-01  0.5515E-02  0.5522E+00 -0.1477E-01  0.1473E+04  0.1473E+04  0.1473E+04  0.2094E-03  0.6597E-02  0.8031E-10  0.9205E+00  0.8676E-08  0.6588E-02 -0.1098E-02 -0.1645E-02 -0.6305E-02 -0.2624E-02  0.5262E-02  0.4486E-02
    47  0.3588E+02  0.0000E+00  0.1441E-03  0.1505E-02  0.3079E-10  0.2173E+00  0.1950E+00  0.3070E-01  0.2260E-01  0.5510E+00  0.1959E-01  0.1471E+04  0.1471E+04  0.1471E+04  0.2563E-03  0.6618E-02  0.8049E-10  0.1358E+01  0.8836E-08  0.6598E-02 -0.1205E-02 -0.1562E-02 -0.9319E-02 -0.3299E-03  0.5846E-02  0.4429E-02
    48  0.3666E+02  0.0000E+00  0.1435E-03  0.1516E-02  0.3085E-10  0.2099E+00  0.1946E+00  0.3005E-01  0.1023E-01  0.5391E+00  0.4114E-01  0.1467E+04  0.1467E+04  0.1467E+04  0.1710E-03  0.6713E-02  0.8005E-10  0.1583E+01  0.1109E-07  0.6687E-02 -0.1249E-02 -0.1558E-02 -0.7775E-02  0.3372E-03  0.4158E-02  0.4380E-02
    49  0.3744E+02  0.0000E+00  0.1433E-03  0.1511E-02  0.3090E-10  0.2104E+00  0.1942E+00  0.3083E-01 -0.1813E-01  0.5211E+00  0.4784E-01  0.1465E+04  0.1465E+04  0.1465E+04  0.1791E-03  0.6812E-02  0.7874E-10  0.1686E+01  0.1153E-07  0.6783E-02 -0.1090E-02 -0.1654E-02 -0.5958E-02  0.5287E-03  0.4352E-02  0.4174E-02
    50  0.3822E+02  0.0000E+00  0.1433E-03  0.1511E-02  0.3059E-10  0.2023E+00  0.1937E+00  0.2994E-01  0.3262E-01  0.5051E+00  0.3890E-01  0.1460E+04  0.1460E+04  0.1460E+04  0.2332E-03  0.6903E-02  0.7760E-10  0.1662E+01  0.1023E-07  0.6875E-02 -0.1118E-02 -0.1639E-02 -0.8280E-02  0.7619E-03  0.5395E-02  0.4073E-02
    51  0.3900E+02  0.0000E+00  0.1431E-03  0.1513E-02  0.3067E-10  0.2067E+00  0.1935E+00  0.3032E-01  0.2152E-02  0.4977E+00  0.1001E-01  0.1459E+04  0.1459E+04  0.1459E+04  0.2198E-03  0.6952E-02  0.7722E-10  0.1828E+01  0.1303E-07  0.6919E-02 -0.1202E-02 -0.1545E-02 -0.6874E-02 -0.1742E-02  0.5387E-02  0.3903E-02
